parameter,value,year_5_token_price,year_10_token_price,year_10_nav,year_10_revenue,total_pdf,token_multiple,min_farm_profit,year_10_treasury,year_10_land
Land Appreciation,0.06,2.2868550420099543,9.988751004564666,2923391420.4621778,1382164816.4907951,770913367.0637109,9.988751004564666,22298405.598501593,758852749.9578542,2164538670.5043235
Operator Cap,200000.0,2.2050804191395303,9.86327206948605,2730553951.591134,1382164816.4907951,770913367.0637109,9.86327206948605,23485515.676626593,801192525.540546,1929361426.0505881
Operator Cap,225000.0,2.194741636494379,9.783166453097273,2724661509.465258,1382164816.4907951,770913367.0637109,9.783166453097273,23335515.676626593,795300083.41467,1929361426.0505881
Operator Cap,250000.0,2.1844303123138635,9.705046398999793,2719328067.315773,1382164816.4907951,770913367.0637109,9.705046398999793,23185515.676626593,789966641.2651848,1929361426.0505881
Operator Cap,275000.0,2.1748031441652005,9.6302921139759,2714003067.315773,1382164816.4907951,770913367.0637109,9.6302921139759,23035515.676626593,784641641.2651848,1929361426.0505881
Operator Cap,300000.0,2.165942222507718,9.55788888266375,2708694346.77588,1382164816.4907951,770913367.0637109,9.55788888266375,22885515.676626593,779332920.725292,1929361426.0505881
Revenue Volume,0.6,1.6755325495755982,4.437104978638016,2217883954.4249854,829298889.8944771,462548020.2382266,4.437104978638016,12577921.889475957,288522528.3743973,1929361426.0505881
Revenue Volume,0.8,1.8963365853930967,6.623381339228254,2436870245.649824,1105731853.1926363,616730693.6509688,6.623381339228254,17418724.478801273,507508819.59923595,1929361426.0505881
Revenue Volume,1.0,2.131684775712632,9.2827920364974,2688214176.0084424,1382164816.4907951,770913367.0637109,9.2827920364974,22298405.598501593,758852749.9578542,1929361426.0505881
Revenue Volume,1.2,2.3865410753847334,12.306788278508845,2963354548.926509,1658597779.7889543,925096040.4764532,12.306788278508845,27222618.811951913,1033993122.8759208,1929361426.0505881
Revenue Volume,1.4,2.6558733963356222,15.633194310076862,3245039517.2360916,1935030743.0871131,1079278713.8891952,15.633194310076862,32159721.94727723,1315678091.1855035,1929361426.0505881
Tax Rate,0.2,2.2060679050961762,10.183978265070367,2769444201.940295,1382164816.4907951,770913367.0637109,10.183978265070367,23784965.971735034,840082775.8897073,1929361426.0505881
Tax Rate,0.25,2.131684775712632,9.2827920364974,2688214176.0084424,1382164816.4907951,770913367.0637109,9.2827920364974,22298405.598501593,758852749.9578542,1929361426.0505881
Tax Rate,0.3,2.058428800800726,8.41607928122298,2609623992.677919,1382164816.4907951,770913367.0637109,8.41607928122298,20811845.225268155,680262566.6273307,1929361426.0505881
Tax Rate,0.35,1.9862906903326623,7.58433752787185,2531033809.347395,1382164816.4907951,770913367.0637109,7.58433752787185,19325284.85203471,601672383.296807,1929361426.0505881
Tax Rate,0.4,1.9152611918991722,6.7866495479979285,2452443626.0168715,1382164816.4907951,770913367.0637109,6.7866495479979285,17838724.478801273,523082199.9662833,1929361426.0505881
