year,opening_farms,opening_treasury,opening_nav,farms_acquired,capital_raised,new_tokens,funding_source,feag_issuance_fee,gross_revenue,pdf_total,expert_total,supplier_total,admin_total,operator_paid_total,operator_overflow_total,treasury_pretax_total,tax_total,net_to_treasury,closing_farms,closing_treasury,land_nav,treasury_nav,total_nav,tokens_outstanding,token_price,standard_token_price,pv_future_cash,dcf_premium,self_funding_capable,oldest_farm_cum_profit,avg_cum_profit_first_10,scenario
1,0,0.0,0.0,10,140000000.0,140000000.0,initial_raise,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,-7000000.0,147000000.0,-7000000.0,140000000.0,140000000.0,0.714959789823464,1.0,-19798597.34126852,-0.285040210176536,False,0.0,0.0,Aggressive
2,10,-7000000.0,140000000.0,10,154736842.10526317,154736842.10526317,equity,7736842.105263159,35738325.0,5285868.75,1712036.25,12904987.5,1147029.75,3227002.5,346830.0,11461400.250000002,2865350.0625000005,8596050.187500002,20,8596050.187500002,301350000.0,8596050.187500002,309946050.1875,294736842.1052632,1.2098531082132882,1.0516026702790178,21950654.77981051,0.1504850096018513,False,574106.0625000001,859605.0187500002,Aggressive
3,20,8596050.187500002,309946050.1875,10,138319947.17105263,131532518.01305595,mixed,6915997.358552632,120445776.0,17960599.275000002,5916021.675,43027374.75,3719640.4050000003,7291790.575,4752787.025,42530349.32000001,10632587.330000002,31897761.990000006,30,31897761.990000006,471520875.0,31897761.990000006,503418636.99,426269360.11831915,1.5705993797668147,1.1809871505901024,74455566.52213322,0.3299038681174773,False,1949200.6875,3159283.8384375004,Aggressive
4,30,31897761.990000006,503418636.99,10,113791829.48421052,96353147.8114324,mixed,5689591.474210527,255046231.63500002,38178548.721,12673925.557500001,90647353.72425,7729772.9733,11358681.412250001,14145941.751250003,94457949.2467,23614487.311675,70843461.935025,40,70843461.935025,658708837.5,70843461.935025,729552299.435025,522622507.9297516,2.0776448531984033,1.395945043249243,152778555.46944085,0.48834287083567096,False,4214503.949362501,6938389.512569999,Aggressive
5,40,70843461.935025,729552299.435025,10,72796355.85786842,52148439.66093784,mixed,3639817.792893421,440423618.259675,66085004.16131625,22042642.33534875,156038826.993135,13191247.125425251,15427744.4594175,28614617.366550006,167638153.18503228,41909538.29625807,125728614.8887742,50,125728614.8887742,864190169.0625,125728614.8887742,989918783.9512742,574770947.5906894,2.7919935317089886,1.72228396042074,253690942.02533764,0.6210994213909575,False,7316439.040096875,12175785.709947843,Aggressive
6,50,125728614.8887742,989918783.9512742,10,15022510.643395578,8722435.433774637,mixed,751125.532169779,674758718.6995981,101367350.20039977,33891478.33043996,238644202.35448208,20089219.16552788,19499051.502192024,47976820.36776779,261267417.14655632,65316854.28663908,195950562.85991722,60,195950562.85991722,1089326236.6875,195950562.85991722,1285276799.5474172,583493383.024464,3.810529067175575,2.202727292099437,375286803.51566315,0.7299141300163987,True,11306194.941286962,18759540.067456946,Aggressive
7,60,195950562.85991722,1285276799.5474172,10,0.0,0.0,treasury,0.0,949786103.2874538,142761522.10224065,47782911.773495264,335589784.50459486,28199976.489501048,23551953.900842726,71426656.42790265,371899954.51677924,92974988.62919481,278924965.88758445,70,334875528.7475017,1325719107.69375,334875528.7475017,1660594636.4412515,583493383.024464,5.549259412661976,2.845952815837893,615453940.0350736,0.9498775179194907,True,15923630.242947133,26379390.609433383,Aggressive
8,70,334875528.7475017,1660594636.4412515,10,0.0,0.0,treasury,0.0,1259707248.2738562,189394632.3390579,63423907.51167226,444835402.8830291,37352672.35023623,27588790.092101302,98381934.73528433,497111843.0977594,124277960.77443986,372833882.32331955,80,567709411.0708213,1573931622.2503126,567709411.0708213,2141641033.3211339,583493383.024464,8.201939259339262,3.6703775837528934,1013428917.832538,1.2346309261601722,True,21115101.681809552,34811579.424805626,Aggressive
9,80,567709411.0708213,2141641033.3211339,10,0.0,0.0,treasury,0.0,1603210026.3749046,241077281.13479677,80756278.49730632,565883240.7164534,47500523.61268605,31626822.472066965,128694180.1654235,636365879.9415951,159091469.98539877,477274409.9561963,90,904983821.0270176,1834554762.5347033,904983821.0270176,2739538583.561721,583493383.024464,11.874401926821566,4.695063668694355,1589590836.0558577,1.5291247924916225,True,26781102.2343888,43980944.16998923,Aggressive
10,90,904983821.0270176,2739538583.561721,10,0.0,0.0,treasury,0.0,1976744569.0937018,297282282.92781925,99607826.01844907,697470865.8758358,58531739.509047076,35666090.5705197,162008366.3388505,788185764.192031,197046441.04800776,591139323.1440232,100,1356123144.1710408,2108209059.8333135,1356123144.1710408,3464332204.0043545,583493383.024464,16.661760224382167,5.937226204772756,2362321555.184066,1.8063206032116956,True,32814808.470544692,53741746.21067603,Aggressive
